id,Image,Chockolate_type,Name,Date,Weight,Pack_type
0,13b22b628c6dd976c321f36c21b51d8f440c7c5f072f0794226a642dd7b27e36.jpg,Молочный шоколад,"""ION"" (название условное)",Годен до февраля 2011,Вес - 30 г,Упаковка - конверт
1,f68cc225d73189022a469639144132502e31e66ecd54185cafeb6e2012159a0c.jpg,Шоколад,"""Кофе со сливками""",NaN,Вес - 100 г,Упаковка - конверт
2,873806062c2b83031616d7625230810de7c7fbc93e6b156e85bbfb7d179b473c.jpg,Шоколад,"""Аврора""",NaN,Вес - 100 г,Упаковка - обертка
3,11070e233d78640d663e6b1567a7622a9b4abb4a2cd33a1602413d07efe5cf12.jpg,Молочный шоколад с кукурузными хлопьями,"""Maestro Club""",NaN,Вес - 40 г,Упаковка - флоу-пак
4,75b70408ee9becd1d0697258febd71b57ddfa643993fb993ccaa27a3ec406705.jpg,Молочный шоколад,"""Merry Christmas""",Годен до октября 2014,Вес - 80 г,Упаковка - конверт
5,39a376523a544e341f456e920f45abc70480711e699948a11c4e7223f9e4032f.jpg,"Шоколад с цельными лесными орехами (на лицевой стороне - черный, на оборотной - молочный)","""Bellarom""",Годен до ноября 2014,Вес - 200 г,Упаковка - трапецевидная коробка
6,9cd8e06cb81aab946fb3cbdab14570cdc05f7052d319eb3136be3b6abca8009c.jpg,Молочный шоколад,"""ION"" (название условное)",Годен до сентября 2008,Вес - 70 г,Упаковка - конверт
7,d58a2b066d8ec83ae1414217fe3a1f05015f38e08df01fbd0e6a821528d9f544.jpg,Шоколад,"""Аврора""",NaN,Вес - 100 г,Упаковка - обертка
8,92c7759955238531cd7b51f36cb1eae6035aa01d7379e5175a55b5e5cc33a3f1.jpg,Молочный шоколад с орехами,"""Tris""",NaN,Вес - 30 г,Упаковка - флоу-пак
9,222d531342c5b5dacf2e26bf835a8c49687639cef4fa43f4eed8003c0f683ad8.jpg,Темный шоколад,"""Российский""",NaN,Вес - 100 г,Упаковка - конверт
10,fc57d7c16dca2f4c8da40391b04d23ad5d96b823d81b26cf0ecb952bc309462d.jpg,Молочный шоколад,"""Czekolada mleczna""  (название условное)",Годен до октября 2014,Вес - 80 г,Упаковка - конверт
11,8290f9c1b8a14ea5f2729cdacb4612aaf5ac36e7ae25ad34f1f6c49847fcfdc7.jpg,Молочный шоколад,"""ION"" (название условное)",Годен до января 2011,Вес - 70 г,Упаковка - конверт
12,7d4b72b2a3e12aaca01c89736f2dd4de3ee3d3aad69de295b1b31f00d21bae61.jpg,Шоколад,"""Аленка""",NaN,Вес - 100 г,Упаковка - обертка
13,b93c816300be6692706bfc9402312d81841622b9df6e595f541f155bec1f1f8a.jpg,Черный шоколад с орехами,"""Maestro""",NaN,Вес - 100 г,Упаковка - конверт
14,87a9b1cf1b6cc4fa5b37883a59a8f2d686f29be1d73be16f6f5b8b44d7252ef8.jpg,Темный шоколад,"""Российский""",NaN,Вес - 100 г,Упаковка - конверт
15,c04c3d7a9605bcea29a14529d638903a2f729d3a80fad5d0224ecd2eaa4d2bcf.jpg,Молочный шоколад,"""Pingo Doce"" (название условное)",Годен до марта 2017,Вес - 100 г,Упаковка - конверт
16,069dac45ea2db8e2c7fb8d4a031366e1968763e9bb8d7bd25c3193df04de8c23.jpg,Молочный шоколад,"""Alicja""",NaN,Вес - 90 г,Упаковка - конверт
17,7f0175c795a17949b2182e2486439c17c56f2e6ca5691060664350fe945178ef.jpg,Молочный шоколад,"""ION"" (название условное)",Годен до июля 2015,Вес - 100 г,Упаковка - флоу-пак
18,fe0da4656999ce3fc89bf7f80ffbb0a787bbef1897609d6855d21049291f342f.jpg,Шоколад,"""Ванильный""",NaN,Вес - 100 г,Упаковка - обертка
19,eb9788a9a924fcbefc9f4eca86bc323ba24e188fbd2807d5db3fde12a56e622e.jpg,Черный шоколад,"""Изысканный черный""",NaN,Вес - 100 г,Упаковка - конверт
20,7a7a6f260977d259631271bcaeec6d78f78aa315acef31356a0b7a82c6719e9d.jpg,Молочный шоколад с миндалем,"""Pingo Doce"" (название условное)",Годен до июля 2017,Вес - 100 г,Упаковка - конверт
21,f6dffdd156fdfc4964845e2a480aaf34529a6cb751370aa629cb14cf383d4954.jpg,Молочный шоколад,"""Solo""",Годен до октября 2014,Вес - 100 г,Упаковка - конверт
